Name,Sex,Event,Equipment,Age,AgeClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Wilks,McCulloch,Glossbrenner,IPFPoints,Tested,Country,Federation,Date,MeetCountry,MeetState,MeetName
Lee Deleon,M,SBD,Raw,24.5,24-34,MR-O,74.0,74,162.5,177.5,187.5,,187.5,105.0,112.5,115.0,,115.0,202.5,212.5,220.0,,220.0,522.5,3,375.84,375.84,363.67,552.64,Yes,,USAPL,2018-06-30,USA,TX,Summer Power Fest
Evan Larsen,M,SBD,Raw,25.5,24-34,MR-O,105.2,120,232.5,245.0,252.5,,252.5,135.0,142.5,147.5,,147.5,242.5,255.0,265.0,,265.0,665.0,7,397.11,397.11,381.03,575.83,Yes,,USAPL,2018-02-24,USA,ME,Maine State Championships
Sonny Ray Howard,M,SBD,Raw,29.0,24-34,Open,74.4,75,,,,,167.0,,,,,130.5,,,,,220.0,517.5,2,370.83,370.83,358.77,544.34,,,USPA,2016-04-02,USA,CO,Colorado State Powerlifting Championships
Caleb Terray,M,SBD,Raw,43.5,40-44,MR-M1a,65.7,66,127.5,-132.5,-132.5,,127.5,82.5,87.5,-90.0,,87.5,-175.0,-175.0,,,,,DQ,,,,,Yes,,USAPL,2018-12-02,USA,CA,California Winter Classic
James McIlwaine,M,SBD,Raw,23.0,20-23,MR-O,66.0,66,205.0,-212.5,-212.5,,205.0,105.0,110.0,-120.0,,110.0,195.0,,,,195.0,510.0,2,400.45,400.45,388.71,587.23,Yes,,USAPL,2017-12-02,USA,MS,Brother Bennett Memorial
Tim Ramos,M,SBD,Raw,,,Open,79.5,83,,,,,205.0,,,,,125.0,,,,,220.0,550.0,5,376.98,376.98,364.21,556.39,Yes,,CPU,2018-11-10,Canada,ON,Western Strength
Storm van Losser,M,SBD,Raw,,,Open,103.2,105,230.0,240.0,245.0,,245.0,140.0,150.0,155.0,,155.0,250.0,260.0,-277.5,,260.0,660.0,5,396.84,396.84,381.02,577.57,Yes,,NPB,2018-12-08,Netherlands,NB,DRC Cup
Nigel Bell,M,SBD,Raw,44.5,40-44,Open,93.3,94,190.0,205.0,215.0,,215.0,110.0,-117.5,117.5,,117.5,195.0,212.5,225.0,,225.0,557.5,2,349.68,364.72,336.7,506.51,Yes,,PA,2018-12-23,Australia,VIC,Hawthorne Christmas Challenge
Patrick Emmett,M,SBD,Raw,22.5,20-23,MR-C,81.4,83,170.0,-182.5,-185.0,,170.0,112.5,117.5,-120.0,,117.5,177.5,190.0,200.0,,200.0,487.5,31,329.25,329.25,317.94,475.33,Yes,,USAPL,2016-04-14,USA,,Collegiate Nationals
Paw Eistrup,M,SBD,Raw,21.5,20-23,Juniors,81.55,83,165.0,172.5,180.0,,180.0,110.0,115.0,120.0,,120.0,210.0,220.0,230.0,,230.0,530.0,1,357.55,361.12,345.26,523.48,Yes,,DSF,2015-04-05,Denmark,,DM Klassisk
Jerrett Arndt,M,SBD,Raw,,,Open,90.0,93,,,,,215.0,,,,,160.0,,,,,227.5,602.5,2,384.63,384.63,370.66,567.47,Yes,,CPU,2012-12-01,Canada,AB,Powersurge III
Matt Salmi,M,SBD,Raw,31.0,24-34,Open,73.57,75,,,,,135.0,,,,,95.0,,,,,175.0,405.0,7,292.53,292.53,283.1,411.15,,,USPA,2014-12-07,USA,TX,Bend the Bar Power Meet
Christopher Isaacs,M,SBD,Raw,25.5,24-34,MR-O,65.7,66,90.0,102.5,110.0,,110.0,75.0,-82.5,92.5,,92.5,120.0,130.0,142.5,,142.5,345.0,2,271.91,271.91,263.98,371.22,Yes,,USAPL,2018-06-23,USA,LA,Calcasieu Cup
James Ballantyne,M,SBD,Raw,28.5,24-34,MR-O,103.7,105,165.0,175.0,182.5,,182.5,115.0,122.5,125.0,,125.0,200.0,210.0,215.0,,215.0,522.5,1,313.61,313.61,301.06,438.26,Yes,,USAPL,2017-09-23,USA,MI,Michigan Rookie Rumble
Travis Greenlee,M,SBD,Raw,30.0,24-34,Open,89.7,90,,,,,215.0,,,,,142.5,,,,,227.5,585.0,5,374.1,374.1,360.53,549.75,Yes,USA,USPA,2019-03-30,USA,NC,Drug Tested North Carolina State Championship
Ilya Marichev,M,SBD,Raw,15.5,16-17,Open,54.6,59,,,,,157.5,,,,,87.5,,,,,200.0,445.0,3,415.38,469.38,406.79,591.35,Yes,Russia,FPR,2017-12-13,Russia,,Central Federal District Powerlifting Championships
Matthew Mastri,M,SBD,Raw,21.5,20-23,MR-O,81.8,83,-207.5,207.5,215.0,,215.0,125.0,-130.0,-130.0,,125.0,220.0,227.5,237.5,,237.5,577.5,3,388.86,392.75,375.48,576.76,Yes,,USAPL,2019-04-06,USA,GA,Georgia Spring Open
